feature,importance
doors_power,7.4008946586863305
doors_value_interaction,7.035037834768868
doors_year_interaction,6.777802184490933
Payment,4.562705747905499
car_age,4.076442933958684
N_doors,3.8664805972678935
doors_total_size,3.576071878256725
Date_start_contract,3.5357552295599337
Year_matriculation,3.527884000171094
car_age_log,3.522331298809137
Value_vehicle,3.3716709189336953
cena_direktno_prethodne,3.1616539092492784
min_prethodni,3.0460727117839483
Date_driving_licence,2.9442915873871827
R_Claims_history,2.831497116448416
Policies_in_force,2.710781414796674
max_prethodni,2.7046531961708027
Cylinder_capacity,2.647333522780954
Date_birth,2.5032924659492166
value_decile,2.458026249512794
Seniority,2.2817896715748147
mean_prethodni,2.105622145732245
total_size,1.9605737386634736
value_per_power,1.946931998008219
Length_Power,1.9050138241053078
