iter	MAE
0	0.30169743
1	0.2983556416
2	0.2951156312
3	0.2925706982
4	0.2894656368
5	0.2865054853
6	0.2837187738
7	0.2809497499
8	0.2780246715
9	0.2753429291
10	0.2727921319
11	0.2702777857
12	0.2677975494
13	0.2652736907
14	0.2627531398
15	0.2604005251
16	0.2581624353
17	0.2559700962
18	0.2538435003
19	0.2516876345
20	0.2497217274
21	0.2477911189
22	0.2459265643
23	0.2439423727
24	0.2420096593
25	0.2401664237
26	0.2383816925
27	0.2366051564
28	0.2348994775
29	0.2331495928
30	0.2314993395
31	0.2299462982
32	0.2283352753
33	0.2267840531
34	0.2252506238
35	0.223720742
36	0.2222441105
37	0.2207920258
38	0.2194522235
39	0.2181439214
40	0.2169242447
41	0.2156422562
42	0.2143002761
43	0.2130441123
44	0.2118029331
45	0.2105985745
46	0.2093659948
47	0.2082686175
48	0.2070887546
49	0.206002713
50	0.2049047141
51	0.2037705769
52	0.2027347354
53	0.2016745346
54	0.2005833495
55	0.1995487492
56	0.1985620241
57	0.1975940526
58	0.196674961
59	0.195779107
60	0.1948987221
61	0.1940119865
62	0.1932232541
63	0.1923465549
64	0.1915145775
65	0.1906935095
66	0.1899409091
67	0.1891592721
68	0.1884158654
69	0.1877003037
70	0.1869836075
71	0.1862751878
72	0.1856054867
73	0.1849208183
74	0.1842478882
75	0.1835456088
76	0.1828912437
77	0.1822506326
78	0.1816378104
79	0.1810539901
80	0.1805278624
81	0.1799549019
82	0.1794281412
83	0.178876761
84	0.1783339652
85	0.177821073
86	0.1773022879
87	0.1768420284
88	0.1763324087
89	0.1758731922
90	0.1754078476
91	0.1749560478
92	0.1744597916
93	0.1740578122
94	0.173636086
95	0.1731999586
96	0.17276546
97	0.172331903
98	0.1719439184
99	0.1715351376
100	0.171184056
101	0.170806105
102	0.1704400861
103	0.1700117102
104	0.1696272062
105	0.1692845406
106	0.168944135
107	0.1685948808
108	0.168250149
109	0.1679080968
110	0.1676052924
111	0.1672819108
112	0.1669809373
113	0.1666718652
114	0.1663751784
115	0.1661158699
116	0.1658324775
117	0.1655474307
118	0.1652680956
119	0.1650304331
120	0.164768271
121	0.1645300745
122	0.1642489115
123	0.1639897056
124	0.1638039828
125	0.1635521198
126	0.1632988147
127	0.1630787588
128	0.1628794631
129	0.1627243221
130	0.162490699
131	0.1622688224
132	0.1620489611
133	0.1618410422
134	0.1616049293
135	0.1614273736
136	0.1612097995
137	0.160996732
138	0.160814229
139	0.1606208342
140	0.1604034253
141	0.1602265017
142	0.1600459142
143	0.1599073661
144	0.1597211014
145	0.1595801877
146	0.1593801515
147	0.1592555185
148	0.1590673206
149	0.1589010588
150	0.1587794449
151	0.1585936872
152	0.158202655
153	0.1580516759
154	0.1578327908
155	0.1576637834
156	0.1575530012
157	0.1574133005
158	0.1572945088
159	0.1571879209
160	0.1570113717
161	0.1567146669
162	0.156610505
163	0.1565058485
164	0.1564252958
165	0.1563170026
166	0.1562266759
167	0.1561295293
168	0.1559934023
169	0.1559032641
170	0.1558023648
171	0.1556426807
172	0.1554543485
173	0.1553629068
174	0.1552319885
175	0.1551549977
176	0.1550492074
177	0.154889585
178	0.1547647733
179	0.1546417596
180	0.1545289803
181	0.1544317551
182	0.1543388521
183	0.1542591238
