iter	Passed	Remaining
0	68	103018
1	141	105797
2	212	106040
3	284	106268
4	360	107674
5	435	108427
6	504	107626
7	577	107657
8	650	107764
9	729	108631
10	811	109851
11	894	110866
12	972	111266
13	1063	112832
14	1156	114519
15	1235	114593
16	1318	115054
17	1386	114195
18	1460	113842
19	1531	113309
20	1601	112785
21	1685	113234
22	1760	113071
23	1832	112726
24	1909	112665
25	1987	112683
26	2060	112436
27	2134	112209
28	2208	112022
29	2281	111782
30	2348	111307
31	2421	111072
32	2495	110938
33	2571	110883
34	2644	110682
35	2727	110915
36	2798	110665
37	2868	110366
38	2943	110273
39	3015	110061
40	3088	109895
41	3157	109625
42	3232	109518
43	3309	109523
44	3380	109300
45	3448	109016
46	3520	108829
47	3592	108685
48	3669	108648
49	3744	108580
50	3816	108430
51	3892	108380
52	3965	108257
53	4039	108161
54	4109	107958
55	4179	107771
56	4253	107670
57	4331	107698
58	4405	107593
59	4472	107339
60	4547	107268
61	4616	107077
62	4693	107060
63	4771	107071
64	4841	106893
65	4912	106738
66	4983	106587
67	5053	106419
68	5122	106244
69	5210	106445
70	5286	106395
71	5355	106208
72	5448	106507
73	5522	106425
74	5623	106842
75	5797	108621
76	5926	109521
77	6005	109488
78	6085	109458
79	6155	109264
80	6228	109119
81	6302	108995
82	6392	109128
83	6510	109751
84	6584	109613
85	6664	109576
86	6748	109606
87	6824	109500
88	6895	109318
89	6966	109140
90	7043	109065
91	7128	109094
92	7231	109405
93	7313	109385
94	7393	109342
95	7466	109198
96	7547	109159
97	7626	109109
98	7716	109204
99	7790	109071
100	7863	108923
101	7939	108822
102	8015	108710
103	8089	108590
104	8167	108505
105	8245	108435
106	8325	108383
107	8398	108249
108	8480	108217
109	8554	108101
110	8630	108000
111	8712	107977
112	8786	107852
113	8892	108118
114	9025	108697
115	9098	108557
116	9171	108413
117	9252	108362
118	9326	108233
119	9407	108191
120	9485	108100
121	9557	107957
122	9634	107853
123	9721	107874
124	9796	107761
125	9872	107653
126	9951	107586
127	10027	107483
128	10100	107343
129	10177	107252
130	10251	107131
131	10326	107019
132	10399	106890
133	10476	106800
134	10556	106741
135	10636	106678
136	10723	106684
137	10800	106596
138	10874	106472
139	10952	106394
140	11033	106341
141	11106	106219
142	11176	106058
143	11264	106075
144	11337	105946
145	11413	105847
146	11486	105725
147	11561	105616
148	11638	105524
149	11718	105466
150	11811	105519
151	11908	105608
152	11989	105552
153	12059	105402
154	12127	105236
155	12196	105078
156	12271	104974
157	12336	104785
158	12401	104590
159	12472	104454
160	12540	104294
161	12611	104160
162	12692	104111
163	12761	103958
164	12832	103823
165	12899	103665
166	12970	103528
167	13035	103354
168	13074	102970
169	13136	102775
170	13205	102629
171	13268	102442
172	13331	102260
173	13399	102116
174	13463	101934
175	13528	101774
176	13594	101610
177	13667	101508
178	13738	101390
179	13805	101239
180	13871	101084
181	13940	100950
182	14011	100840
183	14083	100725
184	14147	100564
185	14209	100382
186	14278	100255
187	14341	100084
188	14409	99954
189	14477	99817
190	14543	99672
191	14616	99576
192	14694	99510
193	14762	99378
194	14834	99274
195	14908	99184
196	14979	99076
197	15048	98952
198	15119	98846
199	15184	98696
200	15254	98587
201	15317	98428
202	15386	98304
203	15454	98184
204	15523	98064
205	15590	97933
206	15664	97845
207	15734	97734
208	15798	97590
209	15869	97483
210	15937	97362
211	16005	97240
212	16069	97098
213	16139	96988
214	16206	96863
215	16272	96728
216	16334	96579
217	16403	96466
218	16473	96359
219	16531	96182
220	16596	96050
221	16662	95922
222	16726	95781
223	16794	95668
224	16860	95544
225	16921	95390
226	16995	95312
227	17070	95235
228	17139	95130
229	17213	95046
230	17280	94929
231	17351	94835
232	17409	94671
233	17477	94557
234	17541	94424
235	17607	94304
236	17688	94262
237	17755	94147
238	17818	94010
239	17880	93872
240	17942	93735
241	18015	93648
242	18088	93570
243	18149	93427
244	18221	93340
245	18287	93220
246	18348	93081
247	18409	92940
248	18480	92848
249	18547	92735
250	18612	92615
251	18687	92545
252	18757	92451
253	18825	92350
254	18885	92204
255	18951	92094
256	19014	91964
257	19084	91871
258	19146	91742
259	19215	91643
260	19284	91547
261	19347	91422
262	19420	91341
263	19497	91284
264	19565	91182
265	19630	91069
266	19703	90988
267	19764	90858
268	19825	90724
269	19889	90605
270	19944	90451
271	20007	90327
272	20078	90242
273	20142	90127
274	20214	90045
275	20276	89921
276	20357	89879
277	20422	89771
278	20491	89675
279	20556	89567
280	20612	89417
281	20683	89334
282	20738	89184
283	20806	89084
284	20874	88989
285	20933	88858
286	20992	88725
287	21057	88614
288	21121	88506
289	21195	88434
290	21265	88352
291	21337	88272
292	21402	88166
293	21464	88049
294	21534	87964
295	21601	87864
296	21678	87808
297	21748	87722
298	21813	87616
299	21876	87505
300	21936	87380
301	22004	87290
302	22071	87194
303	22146	87128
304	22211	87027
305	22275	86919
306	22345	86833
307	22414	86748
308	22476	86634
309	22548	86557
310	22610	86443
311	22679	86356
312	22746	86260
313	22817	86182
314	22882	86081
315	22948	85984
316	23022	85918
317	23081	85791
318	23148	85700
319	23210	85588
320	23279	85503
321	23340	85387
322	23405	85290
323	23476	85211
324	23546	85129
325	23614	85039
326	23686	84968
327	23752	84870
328	23806	84733
329	23868	84624
330	23937	84539
331	24006	84457
332	24067	84344
333	24133	84250
334	24201	84163
335	24262	84052
336	24328	83957
337	24391	83853
338	24455	83755
339	24517	83647
340	24584	83558
341	24657	83488
342	24723	83396
343	24789	83305
344	24857	83219
345	24928	83143
346	24994	83051
347	25059	82955
348	25120	82845
349	25186	82754
350	25255	82673
351	25325	82594
352	25391	82504
353	25453	82400
354	25513	82288
355	25582	82208
356	25623	82036
357	25696	81969
358	25769	81902
359	25831	81801
360	25904	81732
361	25972	81649
362	26045	81579
363	26118	81513
364	26190	81440
365	26261	81366
366	26328	81279
367	26392	81184
368	26462	81109
369	26537	81047
370	26614	80990
371	26675	80888
372	26740	80795
373	26807	80710
374	26876	80630
375	26935	80520
376	26995	80412
377	27065	80336
378	27138	80270
379	27211	80201
380	27275	80108
381	27344	80028
382	27408	79934
383	27501	79927
384	27562	79824
385	27631	79744
386	27696	79653
387	27758	79554
388	27828	79480
389	27901	79411
390	27971	79336
391	28003	79151
392	28063	79047
393	28118	78931
394	28184	78846
395	28254	78769
396	28316	78673
397	28383	78589
398	28452	78512
399	28519	78429
400	28597	78374
401	28697	78383
402	28769	78311
403	28830	78212
404	28889	78109
405	28960	78035
406	29034	77973
407	29108	77908
408	29171	77814
409	29239	77733
410	29299	77633
411	29366	77549
412	29431	77462
413	29497	77378
414	29570	77310
415	29643	77243
416	29712	77167
417	29785	77100
418	29848	77007
419	29913	76921
420	29968	76808
421	30033	76721
422	30106	76653
423	30179	76587
424	30246	76507
425	30313	76423
426	30373	76323
427	30444	76253
428	30509	76167
429	30573	76078
430	30638	75992
431	30701	75901
432	30765	75811
433	30836	75740
434	30901	75654
435	30965	75568
436	31028	75476
437	31095	75395
438	31164	75319
439	31237	75254
440	31308	75183
441	31374	75099
442	31437	75009
443	31502	74925
444	31572	74852
445	31642	74777
446	31707	74693
447	31782	74632
448	31849	74551
449	31910	74458
450	31965	74349
451	32031	74266
452	32094	74179
453	32154	74083
454	32215	73989
455	32306	73964
456	32386	73915
457	32457	73843
458	32517	73748
459	32594	73692
460	32671	73633
461	32733	73544
462	32794	73451
463	32858	73364
464	32928	73292
465	33005	73235
466	33067	73144
467	33131	73059
468	33147	72868
469	33212	72783
470	33269	72684
471	33339	72612
472	33400	72519
473	33466	72440
474	33532	72360
475	33602	72287
476	33667	72206
477	33736	72131
478	33802	72051
479	33877	71990
480	33938	71899
481	34007	71824
482	34069	71737
483	34131	71648
484	34199	71571
485	34261	71483
486	34334	71419
487	34410	71358
488	34479	71285
489	34561	71239
490	34639	71183
491	34707	71107
492	34772	71026
493	34845	70961
494	34908	70875
495	34980	70808
496	35046	70727
497	35108	70640
498	35171	70554
499	35245	70491
500	35315	70420
501	35389	70355
502	35461	70287
503	35525	70206
504	35599	70142
505	35674	70080
506	35742	70004
507	35810	69929
508	35879	69855
509	35949	69783
510	36023	69720
511	36094	69651
512	36165	69582
513	36239	69516
514	36311	69450
515	36387	69390
516	36459	69323
517	36527	69246
518	36610	69199
519	36695	69156
520	36761	69078
521	36835	69013
522	36901	68934
523	36969	68860
524	37031	68773
525	37100	68699
526	37167	68622
527	37236	68549
528	37307	68478
529	37378	68409
530	37446	68334
531	37513	68258
532	37589	68197
533	37649	68108
534	37715	68028
535	37779	67946
536	37841	67861
537	37904	67777
538	37972	67702
539	38043	67633
540	38111	67557
541	38179	67483
542	38248	67410
543	38309	67323
544	38377	67248
545	38447	67177
546	38517	67106
547	38588	67037
548	38657	66963
549	38723	66885
550	38785	66801
551	38847	66716
552	38909	66632
553	38969	66543
554	39033	66462
555	39099	66385
556	39156	66292
557	39226	66221
558	39291	66141
559	39350	66053
560	39421	65983
561	39486	65903
562	39556	65833
563	39617	65748
564	39680	65665
565	39745	65587
566	39812	65511
567	39875	65430
568	39935	65343
569	40004	65270
570	40073	65198
571	40144	65129
572	40222	65071
573	40293	65003
574	40362	64930
575	40425	64849
576	40488	64767
577	40554	64691
578	40633	64634
579	40698	64556
580	40764	64479
581	40840	64418
582	40903	64337
583	40967	64257
584	41035	64184
585	41097	64101
586	41160	64019
587	41225	63941
588	41288	63860
589	41355	63785
590	41424	63713
591	41489	63635
592	41556	63560
593	41626	63490
594	41682	63398
595	41747	63321
596	41822	63259
597	41882	63173
598	41947	63095
599	42009	63014
600	42068	62928
601	42147	62871
602	42216	62799
603	42280	62720
604	42352	62653
605	42416	62574
606	42480	62496
607	42547	62421
608	42619	62354
609	42695	62293
610	42765	62223
611	42835	62153
612	42903	62080
613	42976	62015
614	43046	61945
615	43112	61868
616	43184	61802
617	43253	61731
618	43332	61673
619	43408	61612
620	43477	61541
621	43546	61468
622	43622	61407
623	43685	61327
624	43750	61250
625	43813	61171
626	43881	61097
627	43939	61011
628	44002	60931
629	44073	60864
630	44144	60794
631	44211	60720
632	44301	60678
633	44374	60611
634	44438	60534
635	44501	60455
636	44568	60380
637	44633	60304
638	44701	60231
639	44768	60157
640	44837	60086
641	44899	60006
642	44967	59933
643	45036	59861
644	45102	59787
645	45171	59715
646	45241	59646
647	45308	59571
648	45383	59509
649	45446	59429
650	45510	59351
651	45582	59285
652	45659	59224
653	45718	59140
654	45784	59065
655	45848	58988
656	45913	58912
657	45981	58839
658	46049	58767
659	46121	58700
660	46185	58622
661	46256	58553
662	46339	58500
663	46405	58425
664	46475	58355
665	46537	58277
666	46617	58219
667	46681	58142
668	46749	58069
669	46812	57991
670	46874	57912
671	46941	57838
672	47004	57759
673	47072	57688
674	47136	57611
675	47209	57544
676	47274	57470
677	47346	57401
678	47401	57314
679	47465	57237
680	47540	57174
681	47610	57105
682	47681	57036
683	47748	56963
684	47816	56890
685	47874	56807
686	47935	56727
687	48013	56666
688	48092	56607
689	48171	56548
690	48235	56472
691	48302	56399
692	48368	56325
693	48439	56256
694	48508	56186
695	48582	56120
696	48655	56055
697	48722	55982
698	48787	55906
699	48848	55826
700	48913	55751
701	48986	55685
702	49054	55614
703	49118	55536
704	49182	55461
705	49245	55383
706	49313	55312
707	49386	55246
708	49456	55176
709	49532	55113
710	49610	55052
711	49675	54977
712	49743	54906
713	49811	54834
714	49880	54764
715	49959	54704
716	50023	54628
717	50095	54561
718	50161	54487
719	50231	54417
720	50302	54349
721	50369	54276
722	50431	54198
723	50494	54120
724	50567	54054
725	50639	53987
726	50707	53916
727	50780	53850
728	50848	53778
729	50908	53697
730	50975	53625
731	51050	53561
732	51122	53493
733	51188	53419
734	51254	53346
735	51322	53274
736	51388	53200
737	51452	53125
738	51521	53055
739	51588	52982
740	51659	52914
741	51719	52835
742	51786	52762
743	51850	52686
744	51917	52613
745	51980	52538
746	52049	52467
747	52121	52400
748	52191	52330
749	52264	52264
750	52331	52191
751	52397	52119
752	52468	52050
753	52538	51980
754	52613	51916
755	52677	51841
756	52746	51771
757	52810	51696
758	52879	51625
759	52948	51554
760	53010	51477
761	53076	51405
762	53148	51337
763	53214	51264
764	53281	51191
765	53348	51120
766	53414	51047
767	53482	50975
768	53557	50910
769	53626	50840
770	53695	50770
771	53753	50689
772	53818	50616
773	53879	50538
774	53946	50465
775	54009	50390
776	54079	50321
777	54150	50252
778	54220	50183
779	54282	50107
780	54350	50035
781	54411	49958
782	54478	49886
783	54545	49814
784	54614	49744
785	54675	49667
786	54743	49595
787	54806	49520
788	54870	49445
789	54934	49371
790	54994	49293
791	55056	49217
792	55129	49151
793	55193	49076
794	55262	49006
795	55327	48932
796	55390	48857
797	55449	48778
798	55511	48703
799	55580	48633
800	55645	48559
801	55711	48487
802	55779	48416
803	55840	48339
804	55905	48265
805	55971	48194
806	56034	48118
807	56106	48051
808	56166	47973
809	56232	47902
810	56301	47832
811	56367	47759
812	56431	47685
813	56494	47610
814	56556	47535
815	56627	47467
816	56699	47399
817	56770	47331
818	56843	47265
819	56919	47201
820	56992	47135
821	57062	47066
822	57132	46996
823	57194	46921
824	57266	46854
825	57335	46784
826	57399	46710
827	57459	46634
828	57531	46566
829	57602	46498
830	57674	46431
831	57736	46355
832	57804	46285
833	57869	46212
834	57936	46141
835	57997	46064
836	58062	45992
837	58125	45918
838	58192	45846
839	58253	45770
840	58318	45697
841	58380	45622
842	58444	45549
843	58508	45475
844	58580	45408
845	58641	45332
846	58712	45264
847	58778	45192
848	58839	45117
849	58909	45048
850	58976	44977
851	59037	44901
852	59096	44824
853	59156	44748
854	59223	44677
855	59286	44603
856	59347	44527
857	59414	44457
858	59480	44385
859	59552	44318
860	59626	44252
861	59713	44196
862	59783	44127
863	59856	44060
864	59912	43982
865	59973	43906
866	60040	43836
867	60104	43762
868	60163	43685
869	60228	43613
870	60298	43545
871	60367	43475
872	60431	43402
873	60497	43331
874	60571	43265
875	60634	43191
876	60696	43117
877	60768	43050
878	60838	42981
879	60906	42911
880	60968	42836
881	61026	42760
882	61094	42690
883	61163	42620
884	61229	42549
885	61288	42472
886	61349	42398
887	61414	42326
888	61482	42256
889	61545	42182
890	61616	42115
891	61687	42047
892	61746	41971
893	61817	41902
894	61882	41830
895	61942	41756
896	62010	41685
897	62070	41610
898	62131	41536
899	62191	41461
900	62257	41389
901	62342	41330
902	62403	41256
903	62473	41188
904	62549	41123
905	62616	41053
906	62681	40981
907	62747	40910
908	62815	40840
909	62891	40775
910	62956	40704
911	63024	40634
912	63100	40569
913	63161	40495
914	63231	40426
915	63297	40355
916	63364	40285
917	63439	40220
918	63514	40154
919	63577	40081
920	63641	40008
921	63711	39940
922	63776	39868
923	63842	39797
924	63910	39727
925	63976	39657
926	64042	39585
927	64105	39513
928	64170	39441
929	64233	39369
930	64298	39297
931	64360	39224
932	64424	39151
933	64499	39086
934	64569	39017
935	64632	38945
936	64698	38874
937	64768	38805
938	64822	38728
939	64887	38656
940	64953	38585
941	65019	38514
942	65088	38445
943	65147	38370
944	65206	38295
945	65273	38225
946	65343	38157
947	65406	38084
948	65472	38013
949	65534	37941
950	65598	37868
951	65663	37798
952	65720	37722
953	65787	37651
954	65859	37584
955	65924	37513
956	65983	37438
957	66047	37367
958	66113	37296
959	66172	37221
960	66235	37149
961	66295	37075
962	66366	37008
963	66431	36937
964	66500	36867
965	66575	36802
966	66636	36729
967	66707	36661
968	66780	36594
969	66849	36525
970	66909	36452
971	66975	36381
972	67035	36308
973	67099	36236
974	67156	36160
975	67228	36093
976	67287	36019
977	67355	35950
978	67425	35882
979	67494	35813
980	67563	35744
981	67630	35674
982	67709	35611
983	67772	35539
984	67841	35470
985	67906	35399
986	67980	35333
987	68045	35262
988	68104	35188
989	68166	35116
990	68227	35043
991	68297	34974
992	68363	34904
993	68427	34833
994	68495	34764
995	68559	34692
996	68623	34621
997	68692	34552
998	68752	34479
999	68823	34411
1000	68893	34343
1001	68968	34277
1002	69037	34208
1003	69097	34136
1004	69165	34066
1005	69226	33993
1006	69291	33923
1007	69357	33852
1008	69429	33785
1009	69506	33720
1010	69578	33653
1011	69648	33585
1012	69721	33518
1013	69791	33450
1014	69860	33381
1015	69930	33313
1016	69996	33243
1017	70067	33175
1018	70135	33105
1019	70202	33036
1020	70263	32963
1021	70328	32893
1022	70392	32822
1023	70458	32752
1024	70522	32681
1025	70587	32610
1026	70656	32541
1027	70725	32473
1028	70795	32404
1029	70862	32335
1030	70932	32266
1031	70999	32197
1032	71062	32125
1033	71126	32054
1034	71182	31980
1035	71249	31911
1036	71315	31841
1037	71383	31771
1038	71451	31702
1039	71527	31637
1040	71591	31566
1041	71654	31494
1042	71715	31422
1043	71772	31348
1044	71833	31276
1045	71895	31205
1046	71963	31135
1047	72028	31065
1048	72089	30993
1049	72152	30922
1050	72213	30850
1051	72273	30778
1052	72333	30705
1053	72399	30635
1054	72473	30569
1055	72538	30499
1056	72599	30427
1057	72661	30355
1058	72728	30286
1059	72787	30213
1060	72850	30142
1061	72921	30074
1062	72983	30003
1063	73044	29931
1064	73106	29860
1065	73171	29790
1066	73245	29723
1067	73314	29655
1068	73372	29582
1069	73444	29515
1070	73520	29449
1071	73618	29392
1072	73705	29331
1073	73776	29263
1074	73836	29191
1075	73900	29120
1076	73964	29050
1077	74035	28982
