feature,importance
ima_prethodni,0.5545892
cena_direktno_prethodne,0.07376907
broj_prethodnih_semplova,0.04697202
N_doors,0.038183577
min_prethodni,0.030841818
mean_prethodni,0.022301514
Payment,0.01627323
max_prethodni,0.013474646
Type_risk,0.011648746
doors_value_interaction,0.010360039
value_decile,0.009937072
Second_driver,0.0095495675
mean_kroz_broj,0.0077025457
doors_power,0.007318715
Distribution_channel,0.0072196396
R_Claims_history,0.00697834
contract_age_months,0.0064549996
Policies_in_force,0.0064408025
Value_vehicle,0.0064227246
doors_year_interaction,0.006328377
Area,0.0062285806
days_to_lapse,0.0060834265
car_age,0.005947996
doors_total_size,0.0059238053
Max_policies,0.005851857
driving_exp_years,0.005837316
client_age,0.005828352
Length_Power,0.0057929987
ID,0.005769257
Weight,0.005687041
Year_matriculation,0.0056601986
Cylinder_capacity,0.005484008
car_age_log,0.0054772673
total_size,0.0054575247
value_per_power,0.005421796
N_claims_history,0.0052622487
Seniority,0.0052486937
Lapse,0.0052085393
Power,0.005062321
